,ASSETID,the_geom,INT_ID_FRO,INT_ID_TO,STNUM,MAPSHEET,ID,ADRF,ADRT,ZIP_R,ADLF,ADLT,ZIP_L,TDIR,STNAME,STSFX,SFXDIR,STNAME_A,STSFX_A,SECT_ID,SHAPE_Leng,SYMBOL,STREET_DES,PLANNING_S,TOOLTIP
365,478,"MULTILINESTRING ((-118.42081259201012 33.98550883280236, -118.42303980214746 33.98424246279968))",10970,10982,6017,105B157,18938,12501,12699,90066,12500,12698,90066,W,HAVELOCK,AVE,,,,2509300,817.481027049,4,Local Street,,HAVELOCK AVE  \nStreet Designation: Local Street
366,479,"MULTILINESTRING ((-118.42313426660553 33.984827868118934, -118.42318374141696 33.98485508175955, -118.42318857244852 33.98484859729392, -118.42319286648735 33.98484260274537, -118.42319702461381 33.98483657146254, -118.42320105358431 33.98483048052275, -118.42320494825206 33.984824331375364, -118.42320872237569 33.98481812683445, -118.42321236223277 33.984811871241654, -118.42321586952691 33.98480556172877, -118.4232192442725 33.984799201158, -118.42322248475165 33.984792789535426, -118.42322559274022 33.98478633830432, -118.42322856130832 33.98477983603953, -118.42323139740758 33.98477329845965, -118.42323409410808 33.98476671413961, -118.42323545593285 33.98476319866754, -118.42323665320752 33.98476009881607, -118.42323907292999 33.98475344104585, -118.42324134817925 33.98474675229629, -118.42324349095992 33.98474002823173, -118.42324548930365 33.9847332803436, -118.4232473500392 33.98472650002086, -118.42324905945864 33.98471969446762, -118.4232506313133 33.984712865066705, -118.42325206561051 33.98470601324933, -118.42325334860617 33.984699139063714, -118.42325448721581 33.98469225107274, -118.4232554831357 33.98468534497685, -118.42325633469856 33.98467843080022, -118.42325704185373 33.98467149852477, -118.42325759951959 33.9846645624801, -118.42325801282126 33.98465761692353, -118.4232582817878 33.984650667579714, -118.42325840641908 33.98464371444862, -118.4232583884261 33.98463675609314, -118.42325822099458 33.98462980398653, -118.42325790927138 33.98462285667963, -118.42325744639176 33.9846159156277, -118.42325684090962 33.984608973644804, -118.42325609120827 33.98460205077323, -118.42325519896241 33.984595138419905, -118.4232541607504 33.984588239459214, -118.42325297486161 33.984581355328444, -118.42325164990783 33.984574490290804, -118.42325018073493 33.98456764436447, -118.4232485622108 33.984560821860946, -118.42324680464341 33.98455402274407, -118.42324490977255 33.984547251301294, -118.4232428655794 33.98454050900594, -118.42324068749714 33.98453379007912, -118.4232383670516 33.9845271174495, -118.42323590243062 33.98452047251811, -118.42323330401472 33.98451386956027, -118.42323056314869 33.984507295725784, -118.42322769364188 33.98450076384671, -118.42322466976741 33.98449428260052, -118.42322153099627 33.98448784326158, -118.42321824641148 33.98448144736952, -118.42321483148241 33.98447509630128, -118.42321128801392 33.98446880722474, -118.42320760563283 33.984462567295516, -118.42320379807599 33.98445637503435, -118.42319985166449 33.98445024336982, -118.42319579386485 33.98444416791198, -118.42319159895027 33.984438157338246, -118.42318728236114 33.98443220730081, -118.42318136031456 33.984424398060554, -118.42303980214746 33.98424246279968))",10983,10982,3639,105B157,18939,4801,4899,90066,4800,4898,90066,S,PATRAE,ST,,,,4238700,262.456974404,4,Local Street,,PATRAE ST  \nStreet Designation: Local Street
367,480,"MULTILINESTRING ((-118.41696370321577 33.98418896184595, -118.41755443698838 33.98472199726901, -118.41894013021496 33.98365532851923, -118.41899293311067 33.98361536970788, -118.42022962146072 33.982664030188005, -118.41997202526264 33.9821902934849))",10984,10996,3039,105B161,18956,12501,12699,90066,12500,12698,90066,W,ROSY,CIR,,,,4631400,1557.19761404,4,Local Street,,ROSY CIR  \nStreet Designation: Local Street
368,481,"MULTILINESTRING ((-118.45287922521474 33.99411995310062, -118.45209782230334 33.994512513717154))",10685,10678,1899,108B149,21162,1000,1098,90291,1001,1099,90291,E,VENICE,BLVD,,,,5603700,276.608142737,0,,,
369,482,"MULTILINESTRING ((-118.4197225597115 33.96326735432308, -118.42075838809315 33.96326470620058, -118.42089266704777 33.96318638575944))",11354,11337,1002,099B157,21188,7253,7269,90045,7252,7268,90045,W,83RD,ST,,,,6680800,363.802790981,3,Collector Street,,83RD ST  \nStreet Designation: Collector Street
370,483,"MULTILINESTRING ((-118.24317202937257 33.99381956861924, -118.24317846840883 33.99297214014213))",1130,12367,4933,108B213,21195,0,0,90058,0,0,90058,S,LONG BEACH,AVE,EAST,,,3287900,308.402946787,0,,,
371,484,"MULTILINESTRING ((-118.26102481537552 33.96014827621505, -118.2610288215833 33.9592414356441))",1910,1923,4520,097-5A207,21202,8601,8699,90002,8600,8698,90002,S,MCKINLEY,PL,,,,3605400,330.021087022,4,Local Street,,MCKINLEY PL  \nStreet Designation: Local Street
372,485,"MULTILINESTRING ((-118.26076076010234 33.95833556427024, -118.26076277454838 33.95787816679069, -118.26076479585574 33.95742077360576))",1933,1945,4522,096A207,21206,8751,8799,90002,8750,8798,90002,S,MCKINLEY,AVE,,,,3602600,332.914357273,3,Collector Street,,MCKINLEY AVE  \nStreet Designation: Collector Street
373,486,"MULTILINESTRING ((-118.3904166829299 34.02830634006248, -118.39191702905168 34.028426889343606, -118.3919929714367 34.0285258569273))",12459,12457,6765,120B169,21514,8901,8999,90034,8900,8998,90034,W,EXPOSITION,BLVD,(S/R),,,1882800,499.45403950800005,0,,,
374,487,"MULTILINESTRING ((-118.27829942431097 33.974674826374226, -118.2782982121932 33.97370684458376))",1445,1449,8504,102B201,21540,7201,7299,90003,7200,7298,90003,S,BROADWAY,,,,,0732600,352.269274363,1,Major Highway - Class II,,BROADWAY    \nStreet Designation: Major Highway - Class II
