,OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
199,200,124400,4192,820,2981,154,14,181,10,14,18,3206,606,2269,129,12,160,7,11,12,1723,1636,87,Tract: 1244.00\nTotal Population: 4192,navigatela/reports/census_tracts_2010.cfm?PK=124400
200,201,124500,2779,624,1772,112,19,212,4,19,17,2271,464,1499,95,17,176,4,8,8,1243,1169,74,Tract: 1245.00\nTotal Population: 2779,navigatela/reports/census_tracts_2010.cfm?PK=124500
201,202,124600,3123,484,2154,147,12,287,6,8,25,2515,356,1788,102,5,234,4,8,18,1398,1338,60,Tract: 1246.00\nTotal Population: 3123,navigatela/reports/census_tracts_2010.cfm?PK=124600
202,203,124700,4796,611,3516,262,14,346,9,11,27,3950,446,2976,213,13,266,8,9,19,2222,2098,124,Tract: 1247.00\nTotal Population: 4796,navigatela/reports/census_tracts_2010.cfm?PK=124700
203,204,124902,2766,679,1598,190,14,242,6,22,15,2312,475,1441,155,8,198,6,16,13,1608,1459,149,Tract: 1249.02\nTotal Population: 2766,navigatela/reports/census_tracts_2010.cfm?PK=124902
204,205,124903,3262,668,2096,228,22,188,6,24,30,2852,527,1879,203,21,175,6,21,20,1703,1553,150,Tract: 1249.03\nTotal Population: 3262,navigatela/reports/census_tracts_2010.cfm?PK=124903
205,206,125100,5431,1056,3496,403,22,365,7,28,54,4577,787,3038,342,20,322,7,24,37,2971,2701,270,Tract: 1251.00\nTotal Population: 5431,navigatela/reports/census_tracts_2010.cfm?PK=125100
206,207,125200,3524,1057,1922,203,34,267,6,19,16,2946,803,1689,174,25,221,5,16,13,1754,1624,130,Tract: 1252.00\nTotal Population: 3524,navigatela/reports/census_tracts_2010.cfm?PK=125200
207,208,125310,4750,2255,1723,406,20,279,3,31,33,3848,1610,1580,346,17,244,3,22,26,2168,1967,201,Tract: 1253.10\nTotal Population: 4750,navigatela/reports/census_tracts_2010.cfm?PK=125310
208,209,125320,4843,1761,1863,524,27,572,12,31,53,4076,1302,1755,439,24,480,11,22,43,2753,2337,416,Tract: 1253.20\nTotal Population: 4843,navigatela/reports/census_tracts_2010.cfm?PK=125320
209,210,125401,4024,1101,1878,601,27,331,8,25,53,3637,896,1811,541,26,295,7,21,40,2334,2162,172,Tract: 1254.01\nTotal Population: 4024,navigatela/reports/census_tracts_2010.cfm?PK=125401
210,211,125402,3544,710,2123,358,18,283,3,22,27,3151,553,1971,316,18,251,3,16,23,2011,1852,159,Tract: 1254.02\nTotal Population: 3544,navigatela/reports/census_tracts_2010.cfm?PK=125402
211,212,125501,3077,898,1653,241,17,240,6,11,11,2666,671,1531,214,15,210,5,9,11,1668,1565,103,Tract: 1255.01\nTotal Population: 3077,navigatela/reports/census_tracts_2010.cfm?PK=125501
212,213,125502,3083,493,1952,275,21,294,4,14,30,2785,414,1808,234,19,269,4,12,25,1796,1687,109,Tract: 1255.02\nTotal Population: 3083,navigatela/reports/census_tracts_2010.cfm?PK=125502
213,214,125600,2657,363,1901,128,15,196,5,24,25,2240,285,1656,93,12,164,4,11,15,1287,1217,70,Tract: 1256.00\nTotal Population: 2657,navigatela/reports/census_tracts_2010.cfm?PK=125600
214,215,127102,4726,2925,1026,280,4,436,6,19,30,3431,2000,841,214,3,337,4,12,20,1514,1406,108,Tract: 1271.02\nTotal Population: 4726,navigatela/reports/census_tracts_2010.cfm?PK=127102
215,216,127103,2939,1812,762,166,0,160,3,27,9,2193,1263,648,137,0,123,2,14,6,1173,1088,85,Tract: 1271.03\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127103
216,217,127104,3573,1875,1156,179,11,310,16,10,16,2676,1288,958,141,10,249,12,6,12,1234,1132,102,Tract: 1271.04\nTotal Population: 3573,navigatela/reports/census_tracts_2010.cfm?PK=127104
217,218,127210,5531,3411,1104,361,11,585,6,34,19,4063,2287,950,278,10,497,6,19,16,1885,1760,125,Tract: 1272.10\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=127210
